species_code,sci_name,order,family
abetow,Melozone aberti,Passeriformes,Passerellidae (New World Buntings and Sparrows)
azutit2,Cyanistes cyanus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
acowoo,Melanerpes formicivorus,Piciformes,Picidae (Woodpeckers)
bawbul2,Pycnonotus melanoleucos,Passeriformes,Pycnonotidae (Bulbuls)
easbeg1,Criniger chloronotus,Passeriformes,Pycnonotidae (Bulbuls)
afffin,Lagonosticta rubricata,Passeriformes,Estrildidae (Waxbills and Allies)
comchi4,Phylloscopus collybita tristis,Passeriformes,Phylloscopidae (Leaf Warblers)
chilew1,Phylloscopus yunnanensis,Passeriformes,Phylloscopidae (Leaf Warblers)
gyhwar2,Phylloscopus xanthoschistos,Passeriformes,Phylloscopidae (Leaf Warblers)
miller1,Acrocephalus familiaris kingi,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
soccis1,Cisticola haesitatus,Passeriformes,Cisticolidae (Cisticolas and Allies)
akiapo,Hemignathus wilsoni,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
akikik,Oreomystis bairdi,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
afgfly1,Bradornis microrhynchus,Passeriformes,Muscicapidae (Old World Flycatchers)
negjuf1,Vauriella albigularis,Passeriformes,Muscicapidae (Old World Flycatchers)
amecoo,Fulica americana (Red-shielded),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
amecro,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
amekes,Falco sparverius,Falconiformes,Falconidae (Falcons and Caracaras)
amered,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers)
amerob,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies)
amewoo,Scolopax minor,Charadriiformes,Scolopacidae (Sandpipers and Allies)
amwpel,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans)
ancmur,Synthliboramphus antiquus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
anhing,Anhinga anhinga,Suliformes,Anhingidae (Anhingas)
annhum,Calypte anna,Caprimulgiformes,Trochilidae (Hummingbirds)
antnig,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
audori,Icterus graduacauda,Passeriformes,Icteridae (Troupials and Allies)
audwar,Setophaga coronata auduboni,Passeriformes,Parulidae (New World Warblers)
aztthr,Ridgwayia pinicola,Passeriformes,Turdidae (Thrushes and Allies)
babwar,Setophaga castanea,Passeriformes,Parulidae (New World Warblers)
ceymag1,Urocissa ornata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
canfly2,Microeca papuana,Passeriformes,Petroicidae (Australasian Robins)
chhspl1,Eremopterix signatus,Passeriformes,Alaudidae (Larks)
balori,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies)
banswa,Riparia riparia,Passeriformes,Hirundinidae (Swallows)
bargoo,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bbwduc,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bcnher,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
berpet,Pterodroma cahow,Procellariiformes,Procellariidae (Shearwaters and Petrels)
bicthr,Catharus bicknelli,Passeriformes,Turdidae (Thrushes and Allies)
bkbcuc,Coccyzus erythropthalmus,Cuculiformes,Cuculidae (Cuckoos)
bkbplo,Pluvialis squatarola,Charadriiformes,Charadriidae (Plovers and Lapwings)
bkbwoo,Picoides arcticus,Piciformes,Picidae (Woodpeckers)
bkcchi,Poecile atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
bkrwax,Estrilda troglodytes,Passeriformes,Estrildidae (Waxbills and Allies)
bktgod,Limosa limosa,Charadriiformes,Scolopacidae (Sandpipers and Allies)
zaprai1,Cyanolimnas cerverai,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
sitjay1,Cyanolyca argentigula,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
bkvshe,Puffinus opisthomelas,Procellariiformes,Procellariidae (Shearwaters and Petrels)
blkgui,Cepphus grylle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
blkter,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
blubun,Cyanocompsa parellina,Passeriformes,Cardinalidae (Cardinals and Allies)
blueth,Luscinia svecica,Passeriformes,Muscicapidae (Old World Flycatchers)
blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
botgra,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies)
botspa,Peucaea botterii,Passeriformes,Passerellidae (New World Buntings and Sparrows)
brbsan,Calidris falcinellus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
brewar,Vermivora chrysoptera x cyanoptera (F1 hybrid),Passeriformes,Parulidae (New World Warblers)
brncre,Certhia americana,Passeriformes,Certhiidae (Treecreepers)
brnjay,Psilorhinus morio,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
brnnod,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
brnowl,Tyto alba,Strigiformes,Tytonidae (Barn-Owls)
brnpel,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans)
brnshr,Lanius cristatus,Passeriformes,Laniidae (Shrikes)
ausmag6,Gymnorhina tibicen dorsalis,Passeriformes,Cracticidae (Bellmagpies and Allies)
ausmag7,Gymnorhina tibicen telonocua/tyrannica,Passeriformes,Cracticidae (Bellmagpies and Allies)
ausmag8,Gymnorhina tibicen hypoleuca,Passeriformes,Cracticidae (Bellmagpies and Allies)
grycur2,Strepera versicolor versicolor/plumbea,Passeriformes,Cracticidae (Bellmagpies and Allies)
btbwar,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers)
grycur3,Strepera versicolor arguta,Passeriformes,Cracticidae (Bellmagpies and Allies)
bubsan,Calidris subruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
grycur4,Strepera versicolor melanoptera,Passeriformes,Cracticidae (Bellmagpies and Allies)
bucpar,Thectocercus acuticaudatus,Psittaciformes,Psittacidae (New World and African Parrots)
grycur5,Strepera versicolor intermedia,Passeriformes,Cracticidae (Bellmagpies and Allies)
buggna,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers)
bugnod,Anous ceruleus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
bulpet,Bulweria bulwerii,Procellariiformes,Procellariidae (Shearwaters and Petrels)
bulshe,Ardenna bulleri,Procellariiformes,Procellariidae (Shearwaters and Petrels)
whwtri2,Lalage sueurii,Passeriformes,Campephagidae (Cuckooshrikes)
burowl,Athene cunicularia,Strigiformes,Strigidae (Owls)
blcjay1,Cyanocorax affinis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
buwwar,Vermivora cyanoptera,Passeriformes,Parulidae (New World Warblers)
calthr,Toxostoma redivivum,Passeriformes,Mimidae (Mockingbirds and Thrashers)
cangoo,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
shihon1,Cyanerpes lucidus,Passeriformes,Thraupidae (Tanagers and Allies)
cappet,Daption capense,Procellariiformes,Procellariidae (Shearwaters and Petrels)
carchi,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
casfin,Haemorhous cassinii,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
cerwar,Setophaga cerulea,Passeriformes,Parulidae (New World Warblers)
chbchi,Poecile rufescens,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
chiswi,Chaetura pelagica,Caprimulgiformes,Apodidae (Swifts)
purhon1,Cyanerpes caeruleus,Passeriformes,Thraupidae (Tanagers and Allies)
chukar,Alectoris chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
cintea,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lirplo1,Charadrius dubius curonicus,Charadriiformes,Charadriidae (Plovers and Lapwings)
clarai,Rallus obsoletus/longirostris/crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
cliswa,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
bktgod2,Limosa limosa limosa,Charadriiformes,Scolopacidae (Sandpipers and Allies)
bktgod3,Limosa limosa melanuroides,Charadriiformes,Scolopacidae (Sandpipers and Allies)
cockat,Nymphicus hollandicus,Psittaciformes,Cacatuidae (Cockatoos)
rocsan4,Calidris ptilocnemis quarta,Charadriiformes,Scolopacidae (Sandpipers and Allies)
y00635,Phalaropus lobatus/fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies)
kelgul1,Larus dominicanus vetula,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
colwar,Oreothlypis crissalis,Passeriformes,Parulidae (New World Warblers)
licsan2,Pterocles lichtensteinii [lichtensteinii Group],Pterocliformes,Pteroclidae (Sandgrouse)
licsan3,Pterocles lichtensteinii arabicus,Pterocliformes,Pteroclidae (Sandgrouse)
comcra,Grus grus,Gruiformes,Gruidae (Cranes)
comeid,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comgol,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
commur,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
compau,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
comrav,Corvus corax,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
chotin1,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
comsni,Gallinago gallinago,Charadriiformes,Scolopacidae (Sandpipers and Allies)
comswi,Apus apus,Caprimulgiformes,Apodidae (Swifts)
comyel,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers)
coopet,Pterodroma cookii,Procellariiformes,Procellariidae (Shearwaters and Petrels)
corcra,Crex crex,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
coukin,Tyrannus couchii,Passeriformes,Tyrannidae (Tyrant Flycatchers)
crcgro,Rhodothraupis celaeno,Passeriformes,Cardinalidae (Cardinals and Allies)
cubthr,Toxostoma curvirostre,Passeriformes,Mimidae (Mockingbirds and Thrashers)
daejun,Junco hyemalis,Passeriformes,Passerellidae (New World Buntings and Sparrows)
dawsco,Melanitta perspicillata/americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
duhpar,Aratinga weddellii,Psittaciformes,Psittacidae (New World and African Parrots)
dusgro,Dendragapus obscurus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
crifru1,Haematoderus militaris,Passeriformes,Cotingidae (Cotingas)
palfly3,Myiagra erythrops,Passeriformes,Monarchidae (Monarch Flycatchers)
ashtit2,Melaniparus cinerascens,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
whethr1,Turdus jamaicensis,Passeriformes,Turdidae (Thrushes and Allies)
banana4,Coereba flaveola bahamensis,Passeriformes,Thraupidae (Tanagers and Allies)
harfra3,Pternistis hartlaubi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
watcra2,Bugeranus carunculatus,Gruiformes,Gruidae (Cranes)
eargre,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes)
sinbus1,Mirafra cantillans,Passeriformes,Alaudidae (Larks)
palbab1,Malacopteron palawanense,Passeriformes,Pellorneidae (Ground Babblers and Allies)
gowsun2,Drepanorhynchus reichenowi,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
ostric2,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
dulgua2,Penelope obscura obscura/bronzina,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
dulgua3,Penelope obscura bridgesi,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
goupet3,Pterodroma leucoptera caledonica,Procellariiformes,Procellariidae (Shearwaters and Petrels)
eastow,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
storm-2,Hydrobatidae sp. (white-rumped),Procellariiformes,Hydrobatidae (Storm-Petrels)
whttro4,Phaethon lepturus fulvus,Phaethontiformes,Phaethontidae (Tropicbirds)
brnboo4,Sula leucogaster etesiaca,Suliformes,Sulidae (Boobies and Gannets)
bkbbit1,Ixobrychus dubius,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
gryher1,Ardea cinerea cinerea/jouyi,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
greegr4,Ardea alba melanorhynchos,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
eletro,Trogon elegans,Trogoniformes,Trogonidae (Trogons)
elfowl,Micrathene whitneyi,Strigiformes,Strigidae (Owls)
empido,Empidonax sp.,Passeriformes,Tyrannidae (Tyrant Flycatchers)
turcot1,Cotinga ridgwayi,Passeriformes,Cotingidae (Cotingas)
refspi1,Cranioleuca erythrops,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
eskcur,Numenius borealis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
oaktit,Baeolophus inornatus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
crfpar,Psittacara finschi,Psittaciformes,Psittacidae (New World and African Parrots)
foxsp3,Passerella iliaca [schistacea Group],Passeriformes,Passerellidae (New World Buntings and Sparrows)
foxsp4,Passerella iliaca [megarhyncha Group],Passeriformes,Passerellidae (New World Buntings and Sparrows)
alcgoo1,Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comshe,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
brubrt1,Aepypodius bruijnii,Galliformes,Megapodiidae (Megapodes)
verpar1,Tetraophasis obscurus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
gysfra1,Pternistis griseostriatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
ferpar2,Caloperdix oculeus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
sevgro1,Tetrastes sewerzowi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
rocpen4,Eudyptes moseleyi,Sphenisciformes,Spheniscidae (Penguins)
y00474,Sula dactylatra/granti,Suliformes,Sulidae (Boobies and Gannets)
shteag1,Circaetus gallicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
reuhar2,Circus maillardi maillardi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
afrhae1,Aquila spilogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
blheag1,Spizaetus tyrannus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
gryfal1,Falco hypoleucos,Falconiformes,Falconidae (Falcons and Caracaras)
yelrai1,Coturnicops noveboracensis noveboracensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
gresca,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hawama,Chlorodrepanis virens,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
lecspa,Ammodramus leconteii,Passeriformes,Passerellidae (New World Buntings and Sparrows)
lesgol,Spinus psaltria,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
lewwoo,Melanerpes lewis,Piciformes,Picidae (Woodpeckers)
miskit,Ictinia mississippiensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
palwar,Setophaga palmarum,Passeriformes,Parulidae (New World Warblers)
parrot,Psittaciformes sp. (parrot sp.),Psittaciformes,
reccor,Uraeginthus bengalus,Passeriformes,Estrildidae (Waxbills and Allies)
redegr,Egretta rufescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
redwin,Turdus iliacus,Passeriformes,Turdidae (Thrushes and Allies)
smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blucot1,Cotinga nattererii,Passeriformes,Cotingidae (Cotingas)
whwter,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
yebcar,Paroaria capitata,Passeriformes,Thraupidae (Tanagers and Allies)
yebmag,Pica nuttalli,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
merlin2,Falco columbarius pallidus,Falconiformes,Falconidae (Falcons and Caracaras)
perfal4,Falco peregrinus [peregrinus Group],Falconiformes,Falconidae (Falcons and Caracaras)
perfal5,Falco peregrinus madens,Falconiformes,Falconidae (Falcons and Caracaras)
kinrai1,Rallus elegans elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
kinrai3,Rallus elegans ramsdeni,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
purswa1,Porphyrio porphyrio,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
purswa4,Porphyrio indicus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
purswa6,Porphyrio melanotus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
houbus2,Chlamydotis undulata fuertaventurae,Otidiformes,Otididae (Bustards)
ariwoo,Picoides arizonae,Piciformes,Picidae (Woodpeckers)
asspet,Oceanodroma homochroa,Procellariiformes,Hydrobatidae (Storm-Petrels)
bawwar,Mniotilta varia,Passeriformes,Parulidae (New World Warblers)
lessap2,Charadrius mongolus mongolus/stegmanni,Charadriiformes,Charadriidae (Plovers and Lapwings)
bktgul,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
brbhum,Cynanthus latirostris,Caprimulgiformes,Trochilidae (Hummingbirds)
brnboo,Sula leucogaster,Suliformes,Sulidae (Boobies and Gannets)
casauk,Ptychoramphus aleuticus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
clcrob,Turdus grayi,Passeriformes,Turdidae (Thrushes and Allies)
comcan,Serinus canaria,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
greauk,Pinguinus impennis,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
cubcro1,Corvus nasicus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grefri,Fregata minor,Suliformes,Fregatidae (Frigatebirds)
hispar,Psittacara chloropterus,Psittaciformes,Psittacidae (New World and African Parrots)
mauala,Paroreomyza montana,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
nohowl,Surnia ulula,Strigiformes,Strigidae (Owls)
paibut,Turnix varius,Charadriiformes,Turnicidae (Buttonquail)
rethaw,Buteo jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
saypho,Sayornis saya,Passeriformes,Tyrannidae (Tyrant Flycatchers)
shshaw,Accipiter striatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
vigswa,Tachycineta thalassina,Passeriformes,Hirundinidae (Swallows)
eleeup1,Euphonia elegantissima,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
whrsee,Crithagra leucopygia,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
woowar,Phylloscopus sibilatrix,Passeriformes,Phylloscopidae (Leaf Warblers)
bracor,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
buhvir,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
bushti,Psaltriparus minimus,Passeriformes,Aegithalidae (Long-tailed Tits)
empgoo,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ocequa1,Cyrtonyx ocellatus,Galliformes,Odontophoridae (New World Quail)
bludac1,Dacnis cayana,Passeriformes,Thraupidae (Tanagers and Allies)
vibhum1,Juliamyia julie,Caprimulgiformes,Trochilidae (Hummingbirds)
whfswi1,Cypseloides storeri,Caprimulgiformes,Apodidae (Swifts)
arrwar1,Setophaga pharetra,Passeriformes,Parulidae (New World Warblers)
blbpuf1,Notharchus pectoralis,Galbuliformes,Bucconidae (Puffbirds)
higtin1,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
norpot1,Nyctibius jamaicensis,Caprimulgiformes,Nyctibiidae (Potoos)
earpoo1,Nyctiphrynus mcleodii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
barpuf1,Nystalus radiatus,Galbuliformes,Bucconidae (Puffbirds)
spwqua1,Odontophorus guttatus,Galliformes,Odontophoridae (New World Quail)
bbwqua1,Odontophorus leucolaemus,Galliformes,Odontophoridae (New World Quail)
graela2,Myiopagis caniceps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
jamela1,Myiopagis cotta,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rumfly1,Myiozetetes cayanensis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
dumant1,Sipia laemosticta,Passeriformes,Thamnophilidae (Typical Antbirds)
whbant1,Myrmeciza longipes,Passeriformes,Thamnophilidae (Typical Antbirds)
purtan1,Nesospingus speculiferus,Passeriformes,Nesospingidae (Puerto Rican Tanager)
euroys1,Haematopus ostralegus,Charadriiformes,Haematopodidae (Oystercatchers)
lobsta1,Heliomaster longirostris,Caprimulgiformes,Trochilidae (Hummingbirds)
laufal1,Herpetotheres cachinnans,Falconiformes,Falconidae (Falcons and Caracaras)
bltgol1,Hylocharis eliciae,Caprimulgiformes,Trochilidae (Hummingbirds)
todmot1,Hylomanes momotula,Coraciiformes,Momotidae (Motmots)
troupi1,Icterus icterus/croconotus/jamacaii,Passeriformes,Icteridae (Troupials and Allies)
jamori1,Icterus leucopteryx,Passeriformes,Icteridae (Troupials and Allies)
bawori1,Icterus maculialatus,Passeriformes,Icteridae (Troupials and Allies)
monori1,Icterus oberi,Passeriformes,Icteridae (Troupials and Allies)
amthum1,Lampornis amethystinus,Caprimulgiformes,Trochilidae (Hummingbirds)
gathum1,Lamprolaima rhami,Caprimulgiformes,Trochilidae (Hummingbirds)
ruther1,Tigrisoma lineatum,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
btther1,Tigrisoma mexicanum,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
